run_id,model_name,seed,epoch,lr,train_loss,map_50,map_50_95,stats_conf_thr,stats_iou_thr,overall_precision,overall_recall,overall_f1,overall_tp,overall_fp,overall_fn,nonpollenbee_ap50,nonpollenbee_ap50_95,nonpollenbee_precision,nonpollenbee_recall,nonpollenbee_f1,nonpollenbee_tp,nonpollenbee_fp,nonpollenbee_fn,pollenbee_ap50,pollenbee_ap50_95,pollenbee_precision,pollenbee_recall,pollenbee_f1,pollenbee_tp,pollenbee_fp,pollenbee_fn
20260727_222006,abl_vflw,42,1,0.01,4.791722761755959,0.6484484076499939,0.3942496180534363,0.5,0.5,0.9798929553016057,0.6101053769251553,0.7519982238010656,6774,139,4329,0.9260052442550659,0.5823447704315186,0.9798638273214545,0.6265283438310485,0.7643369681902933,6764,139,4032,0.37089160084724426,0.2061544954776764,1.0,0.03257328990228013,0.06309148264984227,10,0,297
20260727_222006,abl_vflw,42,2,0.009997557473810372,3.0769350088853886,0.7466608881950378,0.49186545610427856,0.5,0.5,0.9639573756790639,0.8310366567594344,0.8925755743651753,9227,345,1876,0.9554662704467773,0.6519452929496765,0.9709059792491176,0.8407743608743979,0.9011665425663937,9077,272,1719,0.5378555059432983,0.3317856192588806,0.672645739910314,0.48859934853420195,0.5660377358490567,150,73,157
20260727_222006,abl_vflw,42,3,0.009990232305719946,2.8725299012852226,0.8497889637947083,0.5749966502189636,0.5,0.5,0.9755742646294564,0.8453571106908043,0.9058096892491797,9386,235,1717,0.9676425457000732,0.6864862442016602,0.9784432409472231,0.8534642460170434,0.9116904962153071,9214,203,1582,0.731935441493988,0.4635070562362671,0.8431372549019608,0.5602605863192183,0.6731898238747555,172,32,135
20260727_222006,abl_vflw,42,4,0.009978031724785247,2.747467058865144,0.8611019253730774,0.5749188661575317,0.5,0.5,0.9794690999585234,0.8507610555705665,0.9105894828167926,9446,198,1657,0.9707613587379456,0.6708753108978271,0.9800210304942166,0.8632826972952945,0.9179552841524673,9320,190,1476,0.7514424920082092,0.47896242141723633,0.9402985074626866,0.41042345276872966,0.5714285714285715,126,8,181
20260727_222006,abl_vflw,42,5,0.009960967771506667,2.660187666428918,0.8892890810966492,0.5943443179130554,0.5,0.5,0.9705762573813888,0.8585967756462217,0.9111589008363202,9533,289,1570,0.9665350914001465,0.6937161684036255,0.9720345150223516,0.8660615042608374,0.9159931422973304,9350,269,1446,0.8120431303977966,0.4949725270271301,0.9014778325123153,0.5960912052117264,0.7176470588235295,183,20,124
20260727_222006,abl_vflw,42,6,0.009939057285945933,2.5962487605803792,0.8923588395118713,0.6259056925773621,0.5,0.5,0.9689737470167065,0.9141673421597767,0.9407730095467606,10150,325,953,0.978521466255188,0.7272148132324219,0.9778896456420887,0.9176546869210819,0.9468151192239691,9907,224,889,0.8061962723731995,0.5245965123176575,0.7063953488372093,0.7915309446254072,0.7465437788018433,243,101,64
20260727_222006,abl_vflw,42,7,0.009912321891107011,2.523540711657886,0.899452805519104,0.6301274299621582,0.5,0.5,0.9716532375497524,0.9014680716923354,0.9352457484582322,10009,292,1094,0.9757579565048218,0.7339111566543579,0.973198332340679,0.908114116339385,0.9395304264494488,9804,270,992,0.8231475949287415,0.5263437628746033,0.9030837004405287,0.6677524429967426,0.7677902621722847,205,22,102
20260727_222006,abl_vflw,42,8,0.009880787971596802,2.4735708969799592,0.9193899035453796,0.6696428060531616,0.5,0.5,0.9783375808664968,0.8989462307484464,0.9369631541891577,9981,221,1122,0.9769952893257141,0.7423463463783264,0.9837340876944838,0.9019081141163394,0.9410457137334494,9737,161,1059,0.8617844581604004,0.5969393253326416,0.8026315789473685,0.7947882736156352,0.7986906710310966,244,60,63
20260727_222006,abl_vflw,42,9,0.009844486647586725,2.4337892264605845,0.9160895347595215,0.669775128364563,0.5,0.5,0.9675731240071022,0.9325407547509682,0.9497339937626124,10354,347,749,0.9814983606338501,0.7567982077598572,0.9762295873997487,0.9358095590959614,0.9555923386143295,10103,246,693,0.8506807684898376,0.582751989364624,0.7130681818181818,0.8175895765472313,0.7617602427921093,251,101,56
20260727_222006,abl_vflw,42,10,0.00980345374410087,2.3862518907230807,0.9369304180145264,0.6779189109802246,0.5,0.5,0.9714690599905527,0.9261460866432496,0.9482663223902619,10283,302,820,0.9808873534202576,0.7540715336799622,0.9771796372147454,0.9281215264912931,0.9520190023752969,10020,234,776,0.8929734826087952,0.6017663478851318,0.7945619335347432,0.8566775244299675,0.8244514106583073,263,68,44
20260727_222006,abl_vflw,42,11,0.009757729755661011,2.336440931666981,0.9072468876838684,0.6689321398735046,0.5,0.5,0.9659133709981168,0.9238944429433487,0.944436772084887,10258,362,845,0.9817427396774292,0.7617901563644409,0.9803037726604605,0.9266394961096702,0.9527165373077472,10004,201,792,0.8327510356903076,0.5760741233825684,0.6120481927710844,0.8273615635179153,0.703601108033241,254,161,53
20260727_222006,abl_vflw,42,12,0.009707359806323416,2.3143727868636024,0.9201650619506836,0.6795872449874878,0.5,0.5,0.9698571693563346,0.94181752679456,0.9556317112177289,10457,325,646,0.9828704595565796,0.7728139758110046,0.9734386900228484,0.9471100407558355,0.960093896713615,10225,279,571,0.8574596643447876,0.5863604545593262,0.8345323741007195,0.755700325732899,0.7931623931623931,232,46,75
20260727_222006,abl_vflw,42,13,0.009652393605146845,2.273783671983423,0.9398695826530457,0.6915332674980164,0.5,0.5,0.9716554334779799,0.9478519319102945,0.9596060910002735,10524,307,579,0.9841766357421875,0.7729707956314087,0.975505553973227,0.9517413856984068,0.9634769562567397,10275,258,521,0.8955625891685486,0.6100957989692688,0.8355704697986577,0.8110749185667753,0.8231404958677686,249,49,58
20260727_222006,abl_vflw,42,14,0.009592885397135705,2.240268961312299,0.9361041784286499,0.6948117613792419,0.5,0.5,0.9766727464721129,0.9163289201116815,0.9455390334572492,10174,243,929,0.9824800491333008,0.771847128868103,0.9825656265477959,0.918766209707299,0.9495955196017425,9919,176,877,0.889728307723999,0.6177763938903809,0.7919254658385093,0.8306188925081434,0.8108108108108107,255,67,52
20260727_222006,abl_vflw,42,15,0.009528893909706796,2.2124353468736864,0.9302549958229065,0.6950345039367676,0.5,0.5,0.9716206123973115,0.9374043051427542,0.9542058216823287,10408,304,695,0.9838092923164368,0.7795882225036621,0.977294593034443,0.9409040385327899,0.9587541293062766,10158,236,638,0.8767006993293762,0.610480785369873,0.7861635220125787,0.8143322475570033,0.8000000000000002,250,68,57
20260727_222006,abl_vflw,42,16,0.00946048229473242,2.1856885708589604,0.9426326155662537,0.6944712996482849,0.5,0.5,0.966675821660716,0.9510042330901558,0.9587759920094434,10559,364,544,0.9837527275085449,0.7758760452270508,0.971487915407855,0.9531307891811782,0.9622218066205349,10290,302,506,0.9015124440193176,0.6130664944648743,0.8126888217522659,0.8762214983713354,0.8432601880877743,269,62,38
