run_id,model_name,seed,epoch,lr,train_loss,map_50,map_50_95,stats_conf_thr,stats_iou_thr,overall_precision,overall_recall,overall_f1,overall_tp,overall_fp,overall_fn,nonpollenbee_ap50,nonpollenbee_ap50_95,nonpollenbee_precision,nonpollenbee_recall,nonpollenbee_f1,nonpollenbee_tp,nonpollenbee_fp,nonpollenbee_fn,pollenbee_ap50,pollenbee_ap50_95,pollenbee_precision,pollenbee_recall,pollenbee_f1,pollenbee_tp,pollenbee_fp,pollenbee_fn
20260727_163332,abl_bot,42,1,0.01,8.91837346681299,0.6766853332519531,0.37017157673835754,0.5,0.5,0.9496082998094432,0.8078897595244529,0.873035184193878,8970,476,2133,0.9448827505111694,0.5413766503334045,0.9506015117640796,0.8270655798443868,0.8845410867303978,8929,464,1867,0.4084879457950592,0.19896651804447174,0.7735849056603774,0.13355048859934854,0.22777777777777777,41,12,266
20260727_163332,abl_bot,42,2,0.009997557473810372,3.478805566854018,0.8664332628250122,0.559040367603302,0.5,0.5,0.9711016291698992,0.9019184004323156,0.9352323137987392,10014,298,1089,0.975153923034668,0.6648321747779846,0.9713723561239548,0.9145979992589848,0.9421306235389534,9874,291,922,0.7577126622200012,0.4532485902309418,0.9523809523809523,0.4560260586319218,0.6167400881057269,140,7,167
20260727_163332,abl_bot,42,3,0.009990232305719946,3.2008496516528613,0.8798912763595581,0.5798277854919434,0.5,0.5,0.9761098752297127,0.9089435287760065,0.9413300998041227,10092,247,1011,0.9779700636863708,0.6775643825531006,0.9765678842177808,0.918766209707299,0.9467856631508615,9919,238,877,0.7818125486373901,0.4820912182331085,0.9505494505494505,0.5635179153094463,0.7075664621676893,173,9,134
20260727_163332,abl_bot,42,4,0.009978031724785247,3.024128255997112,0.9187107682228088,0.6286135911941528,0.5,0.5,0.9819975102939769,0.9236242456993605,0.9519168291098117,10255,188,848,0.9826342463493347,0.7103065252304077,0.9829862129656791,0.9311782141533902,0.9563811064072681,10053,174,743,0.8547872304916382,0.5469207167625427,0.9351851851851852,0.6579804560260586,0.7724665391969407,202,14,105
20260727_163332,abl_bot,42,5,0.009960967771506667,2.8996063936202923,0.9268831610679626,0.650920033454895,0.5,0.5,0.9807308970099667,0.9305593082950554,0.9549865976522784,10332,203,771,0.9834397435188293,0.725127100944519,0.982976653696498,0.9359948128936644,0.9589106092237616,10105,175,691,0.870326578617096,0.576712965965271,0.8901960784313725,0.739413680781759,0.8078291814946619,227,28,80
20260727_163332,abl_bot,42,6,0.009939057285945933,2.803705304701698,0.9300283193588257,0.6464419960975647,0.5,0.5,0.981015037593985,0.9401062775826353,0.9601250977326037,10438,202,665,0.9851887822151184,0.7280636429786682,0.9816891956667625,0.9484994442386069,0.9648089697083903,10240,191,556,0.8748677968978882,0.5648203492164612,0.9473684210526315,0.6449511400651465,0.7674418604651162,198,11,109
20260727_163332,abl_bot,42,7,0.009912321891107011,2.7192019307039637,0.9543765783309937,0.6736666560173035,0.5,0.5,0.9813355843181392,0.9423579212825363,0.9614518722719964,10463,199,640,0.9852058291435242,0.7356293797492981,0.982147998848258,0.9478510559466469,0.9646947914211643,10233,186,563,0.9235473275184631,0.6117038726806641,0.9465020576131687,0.749185667752443,0.8363636363636364,230,13,77
20260727_163332,abl_bot,42,8,0.009880787971596802,2.6653424890283595,0.93995201587677,0.6600351929664612,0.5,0.5,0.9818181818181818,0.9386652256146988,0.9597568836909476,10422,193,681,0.9857587218284607,0.7390487194061279,0.9849100406268136,0.9431270841052242,0.9635658181129934,10182,156,614,0.8941453099250793,0.5810216665267944,0.8664259927797834,0.7817589576547231,0.8219178082191781,240,37,67
20260727_163332,abl_bot,42,9,0.009844486647586725,2.5963489218829148,0.9530818462371826,0.6829596161842346,0.5,0.5,0.9805589307411907,0.9448797622264253,0.9623887716723237,10491,208,612,0.9859758615493774,0.7483057379722595,0.9826428845416187,0.9491478325305669,0.9656049754994346,10247,181,549,0.9201878905296326,0.6176135540008545,0.9003690036900369,0.7947882736156352,0.8442906574394463,244,27,63
20260727_163332,abl_bot,42,10,0.00980345374410087,2.5485449130522375,0.9561734199523926,0.6885020732879639,0.5,0.5,0.9812071838548417,0.9546068630099973,0.9677242638666971,10599,203,504,0.9870432019233704,0.7536053657531738,0.9834663625997719,0.9586884031122638,0.9709193245778611,10350,174,446,0.92530357837677,0.6233987212181091,0.89568345323741,0.8110749185667753,0.8512820512820511,249,29,58
