run_id,model_name,seed,epoch,lr,train_loss,map_50,map_50_95,stats_conf_thr,stats_iou_thr,overall_precision,overall_recall,overall_f1,overall_tp,overall_fp,overall_fn,nonpollenbee_ap50,nonpollenbee_ap50_95,nonpollenbee_precision,nonpollenbee_recall,nonpollenbee_f1,nonpollenbee_tp,nonpollenbee_fp,nonpollenbee_fn,pollenbee_ap50,pollenbee_ap50_95,pollenbee_precision,pollenbee_recall,pollenbee_f1,pollenbee_tp,pollenbee_fp,pollenbee_fn
20260727_082750,abl_baseline,42,1,0.01,9.265114384538988,0.6326213479042053,0.33883148431777954,0.5,0.5,0.9588862301500979,0.7940196343330631,0.8686998078533774,8816,378,2287,0.9376329779624939,0.5137195587158203,0.9588862301500979,0.8165987402741757,0.8820410205102552,8816,378,1980,0.32760971784591675,0.16394338011741638,0.0,0.0,0.0,0,0,307
20260727_082750,abl_baseline,42,2,0.009997557473810372,3.6007804468991287,0.8443673849105835,0.5386946797370911,0.5,0.5,0.9749896651508888,0.849680266594614,0.9080321478415708,9434,242,1669,0.9667569398880005,0.6469769477844238,0.9749137660708687,0.8639310855872545,0.916073270146835,9327,240,1469,0.7219778895378113,0.4304123818874359,0.981651376146789,0.3485342019543974,0.5144230769230769,107,2,200
20260727_082750,abl_baseline,42,3,0.009990232305719946,3.258832515879748,0.8654640316963196,0.5775429010391235,0.5,0.5,0.9855391386356491,0.847068359902729,0.9110723626852659,9405,138,1698,0.9757025837898254,0.6736752986907959,0.9873729266987694,0.8546683957021118,0.9162405044436722,9227,118,1569,0.7552255392074585,0.48141053318977356,0.898989898989899,0.5798045602605864,0.7049504950495049,178,20,129
20260727_082750,abl_baseline,42,4,0.009978031724785247,3.0712656362808963,0.9146822690963745,0.6151392459869385,0.5,0.5,0.9812675919635058,0.9105647122399352,0.9445949733719518,10110,193,993,0.9826225638389587,0.6960859298706055,0.9826578138935685,0.9184883290107447,0.9494901134677072,9916,175,880,0.8467419147491455,0.5341925621032715,0.9150943396226415,0.6319218241042345,0.7475915221579961,194,18,113
20260727_082750,abl_baseline,42,5,0.009960967771506667,2.943962858959953,0.9153321981430054,0.6196766495704651,0.5,0.5,0.9785214306261386,0.9191209582995586,0.947891510310236,10205,224,898,0.9819033145904541,0.706797182559967,0.9790018556499658,0.9284920340866988,0.9530782029950083,10024,215,772,0.8487610816955566,0.5325561165809631,0.9526315789473684,0.5895765472312704,0.7283702213279679,181,9,126
20260727_082750,abl_baseline,42,6,0.009939057285945933,2.8534142728795344,0.9301019906997681,0.6390485763549805,0.5,0.5,0.974349302150132,0.9305593082950554,0.9519509835536922,10332,272,771,0.9831146597862244,0.7221993207931519,0.9858975614533346,0.9324749907373101,0.9584424239539201,10067,144,729,0.8770893216133118,0.5558977723121643,0.6743002544529262,0.8631921824104235,0.7571428571428571,265,128,42
20260727_082750,abl_baseline,42,7,0.009912321891107011,2.7674518976619535,0.9337990283966064,0.6522731184959412,0.5,0.5,0.9845218877599469,0.9338016752229127,0.9584912637515023,10368,163,735,0.9842341542243958,0.7292187213897705,0.985414235705951,0.9386809929603557,0.9614800759013282,10134,150,662,0.8833638429641724,0.575327455997467,0.9473684210526315,0.762214983713355,0.8447653429602887,234,13,73
20260727_082750,abl_baseline,42,8,0.009880787971596802,2.7013304010432035,0.9391115307807922,0.6609813570976257,0.5,0.5,0.9775081661222585,0.9433486445104926,0.9601246677055641,10474,241,629,0.9841315150260925,0.7353491187095642,0.9784330565893692,0.9497035939236754,0.9638542890716804,10253,226,543,0.8940916061401367,0.5866135358810425,0.9364406779661016,0.7198697068403909,0.8139963167587477,221,15,86
20260727_082750,abl_baseline,42,9,0.009844486647586725,2.6617106059018303,0.9369450211524963,0.6696433424949646,0.5,0.5,0.9773885645445278,0.9499234441142034,0.9634603087603909,10547,244,556,0.9853814244270325,0.7464842200279236,0.9796384395813511,0.9536865505742868,0.9664883131512251,10296,214,500,0.888508677482605,0.5928024053573608,0.8932384341637011,0.8175895765472313,0.8537414965986395,251,30,56
20260727_082750,abl_baseline,42,10,0.00980345374410087,2.599167087498833,0.9507507681846619,0.6715868711471558,0.5,0.5,0.9792650189762103,0.9528055480500766,0.9658541038984754,10579,224,524,0.9858884215354919,0.7480975985527039,0.9800910125142207,0.9575768803260467,0.9687031484257872,10338,210,458,0.9156131744384766,0.5950760841369629,0.9450980392156862,0.7850162866449512,0.8576512455516013,241,14,66
20260727_082750,abl_baseline,42,11,0.009757729755661011,2.5437503982992733,0.947848379611969,0.6706007122993469,0.5,0.5,0.9816094100074683,0.9470413401783302,0.9640155856062342,10515,197,588,0.9856379628181458,0.7413676977157593,0.983609699990415,0.9505372360133383,0.9667907108201046,10262,171,534,0.9100587964057922,0.5998337268829346,0.9068100358422939,0.8241042345276873,0.863481228668942,253,26,54
20260727_082750,abl_baseline,42,12,0.009707359806323416,2.5275829271836714,0.943902850151062,0.684160590171814,0.5,0.5,0.9827521909379079,0.9493830496262271,0.9657794676806083,10541,185,562,0.9866603016853333,0.7584473490715027,0.9842271293375394,0.9536865505742868,0.9687161876087877,10296,165,500,0.9011453986167908,0.60987389087677,0.9245283018867925,0.7980456026058632,0.8566433566433568,245,20,62
20260727_082750,abl_baseline,42,13,0.009652393605146845,2.47619014564045,0.9581493735313416,0.6953811645507812,0.5,0.5,0.9772539667981289,0.9596505448977753,0.9683722621103334,10655,248,448,0.9860186576843262,0.7586498260498047,0.9795398830850462,0.9623008521674694,0.9708438463694982,10389,217,407,0.9302800893783569,0.6321125030517578,0.8956228956228957,0.8664495114006515,0.880794701986755,266,31,41
20260727_082750,abl_baseline,42,14,0.009592885397135705,2.4359881030047004,0.9485592842102051,0.6891971826553345,0.5,0.5,0.9801870197203962,0.9535260740340449,0.966672753834916,10587,214,516,0.9862990379333496,0.7686383128166199,0.9806982685211467,0.9600778065950352,0.9702784928621577,10365,204,431,0.9108195304870605,0.6097561120986938,0.9568965517241379,0.7231270358306189,0.8237476808905382,222,10,85
20260727_082750,abl_baseline,42,15,0.009528893909706796,2.4032422109721177,0.9335047602653503,0.6785315275192261,0.5,0.5,0.9800166527893422,0.954066468522021,0.966867469879518,10593,216,510,0.9853445291519165,0.7613345980644226,0.9802513464991023,0.960911448684698,0.9704850554282238,10374,209,422,0.8816649913787842,0.5957284569740295,0.9690265486725663,0.7133550488599348,0.8217636022514071,219,7,88
20260727_082750,abl_baseline,42,16,0.00946048229473242,2.3680449153650254,0.9430684447288513,0.6911592483520508,0.5,0.5,0.9826546702532233,0.9541565342700171,0.9681959422409067,10594,187,509,0.9871430397033691,0.7584103345870972,0.9860633829705995,0.9568358651352352,0.9712297856336969,10330,146,466,0.8989937901496887,0.6239081025123596,0.8655737704918033,0.8599348534201955,0.8627450980392157,264,41,43
20260727_082750,abl_baseline,42,17,0.009387718066217124,2.348138500024928,0.9582658410072327,0.6916185617446899,0.5,0.5,0.9832199123706535,0.9499234441142034,0.9662849289967934,10547,180,556,0.9864155650138855,0.7651760578155518,0.9840374689351941,0.9535939236754354,0.9685765358923699,10295,167,501,0.9301161766052246,0.6180610656738281,0.9509433962264151,0.8208469055374593,0.881118881118881,252,13,55
20260727_082750,abl_baseline,42,18,0.00931067303366952,2.32557917916201,0.9502415657043457,0.6944277286529541,0.5,0.5,0.974567000911577,0.9628929118256327,0.9686947854845285,10691,279,412,0.9862682223320007,0.7664918303489685,0.9753823200298396,0.9688773619859207,0.9721189591078068,10460,264,336,0.9142149090766907,0.6223635673522949,0.9390243902439024,0.752442996742671,0.8354430379746836,231,15,76
20260727_082750,abl_baseline,42,19,0.009229423231234974,2.304974663703837,0.9588390588760376,0.7030097246170044,0.5,0.5,0.9855018587360594,0.9550571917499775,0.9700407080455563,10604,156,499,0.9873111248016357,0.7751790285110474,0.9882341687392385,0.9569284920340867,0.9723294117647059,10331,123,465,0.9303670525550842,0.6308404207229614,0.8921568627450981,0.8892508143322475,0.8907014681892333,273,33,34
